country_x,country_code,year,Health expenditure per capita - Total,country_y,life_expect,maternal_mortality,infant_mortality,neonatal_mortality,under_5_mortality,prev_hiv,inci_tuberc,prev_undernourishment
Argentina,ARG,2004,1487.531,Argentina,74.855,73.0,15.4,9.6,17.3,0.3,34.0,3.9
Argentina,ARG,2005,1676.481,Argentina,75.139,63.0,15.0,9.1,16.7,0.4,31.0,3.6
Argentina,ARG,2006,1817.406,Argentina,75.433,61.0,14.5,8.7,16.2,0.4,28.0,3.3
Argentina,ARG,2007,2018.376,Argentina,75.006,63.0,14.1,8.4,15.8,0.4,30.0,3.2
Argentina,ARG,2008,2196.941,Argentina,75.641,59.0,13.8,8.1,15.4,0.4,26.0,3.2
Argentina,ARG,2009,2348.035,Argentina,75.936,57.0,13.4,7.8,15.0,0.4,22.0,3.4
Argentina,ARG,2010,2543.665,Argentina,75.721,55.0,12.9,7.6,14.5,0.4,21.0,3.6
Argentina,ARG,2011,2709.686,Argentina,76.124,50.0,12.4,7.5,13.9,0.4,27.0,3.6
Argentina,ARG,2012,2779.896,Argentina,76.467,45.0,11.9,7.4,13.3,0.4,24.0,3.4
Argentina,ARG,2013,2802.881,Argentina,76.491,43.0,11.4,7.3,12.8,0.4,24.0,3.1
Argentina,ARG,2014,2667.006,Argentina,76.755,42.0,10.9,7.1,12.2,0.4,25.0,2.8
Argentina,ARG,2015,2849.732,Argentina,76.76,39.0,10.5,6.8,11.8,0.4,26.0,2.8
Argentina,ARG,2016,2719.332,Argentina,76.308,40.0,10.1,6.5,11.4,0.4,27.0,3.0
Argentina,ARG,2017,2882.928,Argentina,76.833,38.0,9.8,6.2,11.0,0.4,27.0,3.4
Argentina,ARG,2018,2780.539,Argentina,76.999,34.0,9.5,6.1,10.6,0.4,27.0,3.5
Argentina,ARG,2019,2625.546,Argentina,77.284,33.0,9.2,6.0,10.3,0.4,29.0,3.5
Argentina,ARG,2020,2478.095,Argentina,75.892,45.0,8.9,5.9,10.0,0.4,28.0,3.4
Australia,AUS,2001,3039.122,Australia,79.6341463414634,6.0,5.0,3.5,6.1,0.1,5.8,2.5
Australia,AUS,2002,3180.573,Australia,79.9365853658537,6.0,5.0,3.4,6.0,0.1,5.9,2.5
Australia,AUS,2003,3332.624,Australia,80.2390243902439,6.0,4.9,3.4,5.9,0.1,5.5,2.5
Australia,AUS,2004,3548.175,Australia,80.490243902439,5.0,4.8,3.3,5.8,0.1,6.1,2.5
Australia,AUS,2005,3612.7,Australia,80.8414634146341,5.0,4.8,3.3,5.7,0.1,5.9,2.5
Australia,AUS,2006,3749.335,Australia,81.0414634146342,5.0,4.7,3.2,5.6,0.1,6.5,2.5
Australia,AUS,2007,3895.468,Australia,81.2926829268293,5.0,4.5,3.1,5.4,0.1,6.1,2.5
Australia,AUS,2008,4052.738,Australia,81.3951219512195,5.0,4.4,3.0,5.2,0.1,6.5,2.5
Australia,AUS,2009,4138.789,Australia,81.5439024390244,5.0,4.2,2.9,5.0,0.1,6.8,2.5
Australia,AUS,2010,4271.338,Australia,81.6951219512195,5.0,4.0,2.8,4.8,0.1,6.5,2.5
Australia,AUS,2011,4409.157,Australia,81.8951219512195,6.0,3.8,2.6,4.5,0.1,6.3,2.5
Australia,AUS,2012,4408.33,Australia,82.0463414634146,6.0,3.6,2.5,4.3,0.1,6.6,2.5
Australia,AUS,2013,4455.309,Australia,82.1487804878049,6.0,3.5,2.4,4.1,0.1,6.2,2.5
Australia,AUS,2014,4945.727,Australia,82.3,5.0,3.4,2.4,4.0,0.1,6.5,2.5
Australia,AUS,2015,5075.413,Australia,82.4,5.0,3.3,2.3,3.9,0.1,6.0,2.5
Australia,AUS,2016,5225.767,Australia,82.4487804878049,5.0,3.2,2.3,3.8,0.1,6.5,2.5
Australia,AUS,2017,5321.048,Australia,82.5,5.0,3.2,2.3,3.8,0.1,6.7,2.5
Australia,AUS,2018,5426.781,Australia,82.7487804878049,4.0,3.2,2.3,3.8,0.1,6.6,2.5
Australia,AUS,2019,5435.483,Australia,82.9,5.0,3.2,2.4,3.8,0.1,6.8,2.5
Australia,AUS,2020,5819.048,Australia,83.2,3.0,3.2,2.4,3.8,0.1,7.2,2.5
Belgium,BEL,2001,3987.254,Belgium,77.9731707317073,8.0,4.7,2.9,5.7,0.1,15.0,2.5
Belgium,BEL,2002,4125.222,Belgium,78.0756097560976,8.0,4.5,2.8,5.5,0.1,13.0,2.5
Belgium,BEL,2003,4584.226,Belgium,78.1292682926829,7.0,4.4,2.7,5.3,0.1,12.0,2.5
Belgium,BEL,2004,4790.613,Belgium,78.8780487804878,7.0,4.3,2.7,5.2,0.1,12.0,2.5
Belgium,BEL,2005,4781.754,Belgium,78.9804878048781,7.0,4.1,2.6,5.0,0.2,12.0,2.5
Belgium,BEL,2006,4781.556,Belgium,79.380487804878,6.0,4.0,2.6,4.9,0.2,11.0,2.5
Belgium,BEL,2007,4890.794,Belgium,79.7829268292683,7.0,3.9,2.5,4.8,0.2,10.0,2.5
Belgium,BEL,2008,5036.837,Belgium,79.6804878048781,6.0,3.8,2.4,4.7,0.2,10.0,2.5
Belgium,BEL,2009,5404.678,Belgium,80.0341463414634,6.0,3.8,2.4,4.6,0.2,9.8,2.5
Belgium,BEL,2010,5417.472,Belgium,80.1829268292683,6.0,3.7,2.3,4.5,0.2,11.0,2.5
Belgium,BEL,2011,5407.163,Belgium,80.5853658536585,6.0,3.6,2.3,4.4,0.2,10.0,2.5
Belgium,BEL,2012,5470.976,Belgium,80.3853658536585,5.0,3.5,2.3,4.3,0.2,9.4,2.5
Belgium,BEL,2013,5506.451,Belgium,80.5878048780488,6.0,3.5,2.3,4.2,0.2,9.3,2.5
Belgium,BEL,2014,5574.688,Belgium,81.2878048780488,5.0,3.4,2.3,4.2,0.2,9.1,2.5
Belgium,BEL,2015,5789.392,Belgium,80.9926829268293,5.0,3.4,2.3,4.1,0.2,9.5,2.5
Belgium,BEL,2016,5856.383,Belgium,81.4390243902439,5.0,3.4,2.3,4.1,0.2,10.0,2.5
Belgium,BEL,2017,5938.933,Belgium,81.4926829268293,5.0,3.3,2.3,4.0,0.2,9.3,2.5
Belgium,BEL,2018,6021.828,Belgium,81.5951219512195,5.0,3.3,2.3,4.0,0.2,9.2,2.5
Belgium,BEL,2019,6082.866,Belgium,81.9951219512195,5.0,3.3,2.3,3.9,0.2,9.0,2.5
Belgium,BEL,2020,6096.546,Belgium,80.6951219512195,5.0,3.2,2.3,3.9,0.2,7.8,2.5
Brazil,BRA,2001,1107.184,Brazil,70.195,68.0,28.5,17.9,32.4,0.3,48.0,10.4
Brazil,BRA,2002,1157.063,Brazil,70.41,72.0,26.7,16.9,30.3,0.3,52.0,9.0
Brazil,BRA,2003,1086.339,Brazil,70.72,69.0,25.0,15.9,28.3,0.4,53.0,7.6
Brazil,BRA,2004,1138.422,Brazil,71.131,70.0,23.5,15.0,26.4,0.4,54.0,6.6
Brazil,BRA,2005,1145.37,Brazil,71.753,70.0,22.0,14.2,24.7,0.4,50.0,6.2
Brazil,BRA,2006,1218.298,Brazil,72.037,71.0,20.6,13.4,23.2,0.4,46.0,5.9
Brazil,BRA,2007,1278.99,Brazil,72.365,72.0,19.4,12.7,21.8,0.4,46.0,5.4
Brazil,BRA,2008,1307.279,Brazil,72.715,70.0,18.4,12.1,20.6,0.4,46.0,4.9
Brazil,BRA,2009,1358.86,Brazil,72.948,68.0,17.4,11.6,19.5,0.5,45.0,4.1
Brazil,BRA,2010,1385.93,Brazil,73.182,64.0,16.6,11.1,18.6,0.5,44.0,3.5
Brazil,BRA,2011,1408.424,Brazil,73.343,62.0,16.0,10.7,17.9,0.5,44.0,3.0
Brazil,BRA,2012,1413.623,Brazil,73.552,57.0,15.4,10.3,17.2,0.5,44.0,2.8
Brazil,BRA,2013,1476.506,Brazil,73.918,61.0,14.9,9.9,16.7,0.5,44.0,2.6
Brazil,BRA,2014,1541.713,Brazil,74.306,62.0,14.5,9.7,16.3,0.5,43.0,2.5
Brazil,BRA,2015,1545.663,Brazil,74.332,62.0,14.2,9.4,15.9,0.5,43.0,2.5
Brazil,BRA,2016,1516.133,Brazil,74.442,63.0,15.0,10.0,16.7,0.5,43.0,2.5
Brazil,BRA,2017,1574.586,Brazil,74.827,60.0,13.7,9.1,15.3,0.5,44.0,2.5
Brazil,BRA,2018,1594.538,Brazil,75.109,59.0,13.4,9.0,15.0,0.5,46.0,2.5
Brazil,BRA,2019,1625.225,Brazil,75.338,61.0,13.2,8.9,14.8,0.5,46.0,2.5
Brazil,BRA,2020,1578.256,Brazil,74.009,72.0,13.0,8.8,14.5,0.6,45.0,3.4
Bulgaria,BGR,2003,884.415,Bulgaria,72.0658536585366,17.0,12.5,6.8,15.1,0.1,52.0,4.7
Bulgaria,BGR,2004,926.344,Bulgaria,72.5634146341463,15.0,11.8,6.4,14.2,0.1,49.0,5.1
Bulgaria,BGR,2005,993.605,Bulgaria,72.5609756097561,14.0,11.0,5.9,13.3,0.1,52.0,5.0
Bulgaria,BGR,2006,1051.808,Bulgaria,72.6121951219512,12.0,10.4,5.6,12.5,0.1,51.0,5.2
Bulgaria,BGR,2007,1092.514,Bulgaria,72.6634146341463,10.0,9.9,5.4,11.9,0.1,47.0,4.8
Bulgaria,BGR,2008,1202.305,Bulgaria,72.9634146341463,9.0,9.6,5.2,11.4,0.1,49.0,4.6
Bulgaria,BGR,2009,1260.529,Bulgaria,73.4121951219512,10.0,9.3,5.1,11.1,0.1,44.0,4.6
Bulgaria,BGR,2010,1365.0,Bulgaria,73.5121951219512,10.0,9.0,5.1,10.8,0.1,41.0,4.8
Bulgaria,BGR,2011,1439.52,Bulgaria,74.1634146341463,8.0,8.7,4.9,10.3,0.1,37.0,5.1
Bulgaria,BGR,2012,1519.749,Bulgaria,74.3146341463415,8.0,8.2,4.7,9.8,0.1,36.0,4.6
Bulgaria,BGR,2013,1472.01,Bulgaria,74.8609756097561,7.0,7.7,4.5,9.2,0.1,33.0,4.1
Bulgaria,BGR,2014,1612.488,Bulgaria,74.4658536585366,7.0,7.3,4.3,8.7,0.1,32.0,4.1
